labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
73,II,cf3_benzopiperidine.log,-9.2,27.17689071,-66.5486304,-163.0282929,0.09391,-0.42398,1.7278106932864492,309.06241897799987,179.4636076414519,47.199131593861495,132.80141348056353,0.45343,-0.53128,-0.084321,-0.138242,0.6075442669552281,-0.711854350501673,-0.11298048239845575,-0.18522844662334795,-0.27884801423677963,0.013493033382989328
110,VIII,cf3_dibenzofuran.log,-11.5,34.49114727,-89.58703254,-184.5343156,0.00909,-0.33301,5.604062657961186,359.0784189779999,173.43140372960315,126.43856290220755,53.93297851182688,0.72414,-0.54613,0.141086,-0.378634,0.09223092498254556,-0.06955847634534429,0.017969580857413514,-0.04822515542552706,-0.1411385283632348,-0.019064724927053085
37,I,cf3_metriazole.log,-25.5,14.36752908,-87.97997943,-169.6824089,0.00842,-0.50602,2.536595242601586,230.90841897800001,90.34332949469388,207.04921753773354,89.72408031097548,0.65508,-0.1952,0.003836,-0.264506,0.40724145880459817,-0.12134935085586122,0.002384713677679732,-0.1644345870772563,-0.10082145850660205,-0.0008000054553121047
69,II,cl_benzopiperidine.log,-6.5,16.73073174,-62.54448909,-188.7863234,-0.03203,-0.32871,2.990221904141731,241.95,73.83048703052317,116.96942899632487,118.32316508891489,0.59413,-0.55016,0.410743,-0.539049,0.26578755163233525,-0.2461173133927685,0.18374829804945092,-0.24114674216056867,-0.21862361475398195,-0.14808974752029344
86,V,cl_biphenylene.log,-2.3,19.49491329,-66.46517157,-187.6643355,-0.08174,-0.3318,3.981183515924504,275.967,40.314969135194545,99.80642448589865,149.2224616728863,0.57897,-0.54241,0.441616,-0.173952,0.14611394201197758,-0.13688734008103484,0.11145008310544845,-0.04390005085041975,-0.15776168892685388,-0.038591532454971995
108,VIII,cl_dibenzofuran.log,12.1,52.5025668,-28.5403497,-185.1630806,-0.04591,-0.33162,5.619016435031401,291.966,160.99780446374135,150.23302769445291,34.95763508447738,0.57551,-0.54522,0.442235,-0.42097,0.07291086671906225,-0.06907345268121688,0.05602637164168215,-0.053332327088536496,-0.11168487076982415,-0.0662634359954349
46,II,cl_dimethylaniline.log,-4.1,18.08050575,-61.77641685,-185.4529903,-0.03174,-0.31633,3.0322916368492656,201.885,64.62255565902278,124.5231238714525,123.44906316407086,0.58505,-0.50434,0.393728,-0.286415,0.25451362626763524,-0.21940244811865509,0.17128303742091017,-0.12459878688564181,-0.19461460330154084,-0.07437912880779132
4,I,cl_indole.log,19.4,46.18730616,-66.24679809,-164.7401402,-0.03743,-0.3086,2.630933623640285,225.90699999999998,1.3742993424246768,179.48437109750017,178.62571456875773,0.53552,-0.39006,0.378976,-0.148664,0.30946811079774256,-0.225409193490005,0.21900393404109145,-0.08591045567604497,-0.1587914870394768,-0.04282896957776165
19,I,cl_metriazole.log,-3.7,30.34832625,-65.68203909,-178.3614997,-0.03909,-0.49088,2.5642234611948314,163.796,89.17932614660596,206.48875176283642,90.68155481605308,0.54523,-0.2252,0.264953,-0.35266,0.3316866533001204,-0.13699876074901807,0.16118220540290668,-0.21453811263653955,-0.09576840541251928,-0.07287845727490634
77,III,cl_naphthalene.log,20.4,41.38246209,-37.57774872,-163.4468421,0.06526,-0.46201,1.7025186973545985,251.945,176.9384022015915,15.57203066394808,164.43353243918924,0.57591,-0.56673,0.305433,-0.140371,0.7947505382583018,-0.782082222130415,0.4214947494432253,-0.19371069751498682,-0.38341484860887926,-0.05036530372279401
